tournament_id,year,team_name,matches,wins,losses,draws,goals_for,goals_against,goal_difference,knockout_matches,win_rate,goals_for_per_match,goals_against_per_match,team_id,team_code,region_name,confederation_code,is_host,position,performance,stage_score_from_label,stage_score,stage_reached,champion,finalist,semifinalist,reached_knockout,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match,historical_tournaments_before,historical_matches_before,historical_wins_before,historical_best_stage_before
WC-1954,1954,Austria,5,4,1,0,17,12,5,3,0.8,3.4,2.4,T-05,AUT,Europe,UEFA,0,3.0,third-place match,4,4,Semi-finals/top four,0,0,1,1,6,1.6666666666666667,0.5,2.1666666666666665,3.0,0.8333333333333334,1,4,2,4
WC-1958,1958,Austria,3,0,2,1,2,7,-5,0,0.0,0.6666666666666666,2.3333333333333335,T-05,AUT,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,6,2.0,0.5,1.0,2.5,1.5,2,9,6,4
WC-1978,1978,Austria,6,3,3,0,7,10,-3,0,0.5,1.1666666666666667,1.6666666666666667,T-05,AUT,Europe,UEFA,0,,second group stage,2,2,Round of 16 / second group,0,0,0,1,9,1.4444444444444444,0.3333333333333333,0.1111111111111111,0.7777777777777778,0.6666666666666666,3,12,6,4
WC-1982,1982,Austria,5,2,2,1,5,4,1,0,0.4,1.0,0.8,T-05,AUT,Europe,UEFA,0,,second group stage,2,2,Round of 16 / second group,0,0,0,1,7,2.0,0.5714285714285714,0.7142857142857143,1.7142857142857142,1.0,4,18,9,4
WC-1990,1990,Austria,3,1,2,0,2,3,-1,0,0.3333333333333333,0.6666666666666666,1.0,T-05,AUT,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,11,2.0,0.5454545454545454,0.6363636363636364,1.5454545454545454,0.9090909090909091,5,23,11,4
WC-1998,1998,Austria,3,0,1,2,3,4,-1,0,0.0,1.0,1.3333333333333333,T-05,AUT,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,8,2.25,0.75,1.5,2.375,0.875,6,26,12,4
WC-1930,1930,Belgium,2,0,2,0,0,4,-4,0,0.0,0.0,2.0,T-06,BEL,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,6,1.6666666666666667,0.5,0.8333333333333334,2.5,1.6666666666666667,0,0,0,4
WC-1934,1934,Belgium,1,0,1,0,2,5,-3,1,0.0,2.0,5.0,T-06,BEL,Europe,UEFA,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,8,0.625,0.125,-2.25,2.0,4.25,1,2,0,1
WC-1938,1938,Belgium,1,0,1,0,1,3,-2,1,0.0,1.0,3.0,T-06,BEL,Europe,UEFA,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,9,1.0,0.2222222222222222,-1.0,1.8888888888888888,2.888888888888889,2,3,0,2
WC-1954,1954,Belgium,2,0,1,1,5,8,-3,0,0.0,2.5,4.0,T-06,BEL,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,8,1.625,0.375,0.875,1.875,1.0,3,4,0,2
