year,tournament_id,team_name,confederation_code,is_host,matches,wins,losses,draws,goals_for,goals_against,goal_difference,win_rate,goals_for_per_match,goals_against_per_match,historical_tournaments_before,historical_matches_before,historical_wins_before,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,performance,stage_reached,stage_score,champion,finalist,semifinalist,reached_knockout
2018,WC-2018,Serbia,UEFA,0,3,1,2,0,2,4,-2,0.3333333333333333,0.6666666666666666,1.3333333333333333,1,3,1,10,1.9,0.6,1.0,group stage,Group stage,1,0,0,0,0
2018,WC-2018,South Korea,AFC,0,3,1,2,0,3,3,0,0.3333333333333333,1.0,1.0,9,31,6,18,1.3333333333333333,0.3333333333333333,-0.05555555555555555,group stage,Group stage,1,0,0,0,0
2018,WC-2018,Spain,UEFA,0,4,1,1,2,7,6,1,0.25,1.75,1.5,14,59,30,10,2.4,0.7,2.6,round of 16,Round of 16 / second group,2,0,0,0,1
2018,WC-2018,Sweden,UEFA,0,5,3,2,0,6,4,2,0.6,1.2,0.8,11,46,17,12,1.3333333333333333,0.3333333333333333,0.75,quarter-finals,Quarter-finals,3,0,0,0,1
2018,WC-2018,Switzerland,UEFA,0,4,1,1,2,5,5,0,0.25,1.25,1.25,10,33,11,10,2.3,0.7,1.7,round of 16,Round of 16 / second group,2,0,0,0,1
2018,WC-2018,Tunisia,CAF,0,3,1,2,0,5,8,-3,0.3333333333333333,1.6666666666666667,2.6666666666666665,4,12,1,9,1.7777777777777777,0.4444444444444444,0.5555555555555556,group stage,Group stage,1,0,0,0,0
2018,WC-2018,Uruguay,CONMEBOL,0,5,4,1,0,7,3,4,0.8,1.4,0.6,12,51,21,9,2.0,0.5555555555555556,0.8888888888888888,quarter-finals,Quarter-finals,3,0,0,0,1
2022,WC-2022,Argentina,CONMEBOL,0,7,6,1,0,15,8,7,0.8571428571428571,2.142857142857143,1.1428571428571428,17,81,47,9,2.7777777777777777,0.8888888888888888,2.6666666666666665,final,Champion,6,1,1,1,1
2022,WC-2022,Australia,AFC,0,4,2,2,0,4,6,-2,0.5,1.0,1.5,5,16,2,9,1.8888888888888888,0.5555555555555556,0.6666666666666666,round of 16,Round of 16 / second group,2,0,0,0,1
2022,WC-2022,Belgium,UEFA,0,3,1,1,1,1,2,-1,0.3333333333333333,0.3333333333333333,0.6666666666666666,13,48,21,9,1.5555555555555556,0.4444444444444444,0.5555555555555556,group stage,Group stage,1,0,0,0,0
