key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,year
43,WC-1938,1938 FIFA Men's World Cup,M-1938-08,Cuba vs Romania,round of 16,not applicable,0,1,0,1,1938-06-09,18:00,S-077,Stade du T.O.E.C.,Toulouse,France,T-19,Cuba,CUB,T-61,Romania,ROU,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,1938
44,WC-1938,1938 FIFA Men's World Cup,M-1938-09,Switzerland vs Germany,round of 16,not applicable,0,1,0,1,1938-06-09,18:00,S-068,Parc des Princes,Paris,France,T-75,Switzerland,CHE,T-31,Germany,DEU,4–2,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0,1938
45,WC-1938,1938 FIFA Men's World Cup,M-1938-10,Brazil vs Czechoslovakia,quarter-finals,not applicable,0,1,1,0,1938-06-12,17:00,S-056,Stade du Parc Lescure,Bordeaux,France,T-09,Brazil,BRA,T-21,Czechoslovakia,CSK,1–1,1,1,0,0,1,0,0-0,0,0,draw,0,0,1,1938
46,WC-1938,1938 FIFA Men's World Cup,M-1938-11,Hungary vs Switzerland,quarter-finals,not applicable,0,1,0,0,1938-06-12,17:00,S-061,Stade Victor Boucquey,Lille,France,T-36,Hungary,HUN,T-75,Switzerland,CHE,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,1938
47,WC-1938,1938 FIFA Men's World Cup,M-1938-12,Italy vs France,quarter-finals,not applicable,0,1,0,0,1938-06-12,17:00,S-069,Stade Olympique de Colombes,Paris,France,T-41,Italy,ITA,T-30,France,FRA,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,1938
48,WC-1938,1938 FIFA Men's World Cup,M-1938-13,Sweden vs Cuba,quarter-finals,not applicable,0,1,0,0,1938-06-12,17:00,S-055,Stade du Fort Carré,Antibes,France,T-74,Sweden,SWE,T-19,Cuba,CUB,8–0,8,0,8,-8,0,0,0-0,0,0,home team win,1,0,0,1938
49,WC-1938,1938 FIFA Men's World Cup,M-1938-14,Brazil vs Czechoslovakia,quarter-finals,not applicable,0,1,0,1,1938-06-14,18:00,S-056,Stade du Parc Lescure,Bordeaux,France,T-09,Brazil,BRA,T-21,Czechoslovakia,CSK,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,1938
50,WC-1938,1938 FIFA Men's World Cup,M-1938-15,Hungary vs Sweden,semi-finals,not applicable,0,1,0,0,1938-06-16,18:00,S-068,Parc des Princes,Paris,France,T-36,Hungary,HUN,T-74,Sweden,SWE,5–1,5,1,4,-4,0,0,0-0,0,0,home team win,1,0,0,1938
51,WC-1938,1938 FIFA Men's World Cup,M-1938-16,Italy vs Brazil,semi-finals,not applicable,0,1,0,0,1938-06-16,18:00,S-064,Stade Vélodrome,Marseille,France,T-41,Italy,ITA,T-09,Brazil,BRA,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,1938
52,WC-1938,1938 FIFA Men's World Cup,M-1938-17,Brazil vs Sweden,third-place match,not applicable,0,1,0,0,1938-06-19,17:00,S-056,Stade du Parc Lescure,Bordeaux,France,T-09,Brazil,BRA,T-74,Sweden,SWE,4–2,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0,1938
53,WC-1938,1938 FIFA Men's World Cup,M-1938-18,Italy vs Hungary,final,not applicable,0,1,0,0,1938-06-19,17:00,S-069,Stade Olympique de Colombes,Paris,France,T-41,Italy,ITA,T-36,Hungary,HUN,4–2,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0,1938
54,WC-1950,1950 FIFA Men's World Cup,M-1950-01,Brazil vs Mexico,group stage,Group 1,1,0,0,0,1950-06-24,15:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-09,Brazil,BRA,T-46,Mexico,MEX,4–0,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0,1950
55,WC-1950,1950 FIFA Men's World Cup,M-1950-02,Yugoslavia vs Switzerland,group stage,Group 1,1,0,0,0,1950-06-25,15:00,S-007,Estádio Independência,Belo Horizonte,Brazil,T-87,Yugoslavia,YUG,T-75,Switzerland,CHE,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,1950
56,WC-1950,1950 FIFA Men's World Cup,M-1950-03,England vs Chile,group stage,Group 2,1,0,0,0,1950-06-25,15:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-28,England,ENG,T-13,Chile,CHL,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,1950
57,WC-1950,1950 FIFA Men's World Cup,M-1950-04,Spain vs United States,group stage,Group 2,1,0,0,0,1950-06-25,15:00,S-012,Estádio Vila Capanema,Curitiba,Brazil,T-73,Spain,ESP,T-83,United States,USA,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,1950
