tournament_id,year,team_name,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match
WC-1962,1962,Hungary,9,1.1111111111111112,0.2222222222222222,-0.4444444444444444,1.4444444444444444,1.8888888888888888
WC-1962,1962,Italy,5,3.0,1.0,2.8,3.8,1.0
WC-1962,1962,Mexico,7,2.0,0.5714285714285714,0.42857142857142855,1.0,0.5714285714285714
WC-1962,1962,Soviet Union,0,,,,,
WC-1962,1962,Spain,4,2.5,0.75,1.0,1.75,0.75
WC-1962,1962,Switzerland,3,2.0,0.6666666666666666,0.0,2.0,2.0
WC-1962,1962,Uruguay,11,1.1818181818181819,0.2727272727272727,-0.7272727272727273,1.2727272727272727,2.0
WC-1962,1962,West Germany,0,,,,,
WC-1962,1962,Yugoslavia,10,2.8,0.9,1.8,2.8,1.0
WC-1966,1966,Argentina,9,1.7777777777777777,0.4444444444444444,0.5555555555555556,1.4444444444444444,0.8888888888888888
WC-1966,1966,Brazil,17,2.3529411764705883,0.7058823529411765,1.2352941176470589,2.2941176470588234,1.0588235294117647
WC-1966,1966,Bulgaria,8,2.0,0.625,-0.25,1.875,2.125
WC-1966,1966,Chile,16,1.125,0.3125,-0.0625,1.375,1.4375
WC-1966,1966,England,12,2.4166666666666665,0.75,1.4166666666666667,2.1666666666666665,0.75
WC-1966,1966,France,6,1.8333333333333333,0.5,0.3333333333333333,1.5,1.1666666666666667
WC-1966,1966,Hungary,6,1.6666666666666667,0.5,0.3333333333333333,2.1666666666666665,1.8333333333333333
WC-1966,1966,Italy,8,2.375,0.75,2.625,3.0,0.375
WC-1966,1966,Mexico,6,1.6666666666666667,0.5,0.16666666666666666,1.8333333333333333,1.6666666666666667
WC-1966,1966,North Korea,7,3.0,1.0,3.0,3.2857142857142856,0.2857142857142857
WC-1966,1966,Portugal,7,2.2857142857142856,0.7142857142857143,1.2857142857142858,1.7142857142857142,0.42857142857142855
WC-1966,1966,Soviet Union,0,,,,,
WC-1966,1966,Spain,4,1.75,0.5,0.5,1.5,1.0
WC-1966,1966,Switzerland,5,1.2,0.2,-0.2,1.2,1.4
WC-1966,1966,Uruguay,8,1.0,0.25,-0.75,1.125,1.875
WC-1966,1966,West Germany,0,,,,,
WC-1970,1970,Belgium,3,0.0,0.0,-2.3333333333333335,0.3333333333333333,2.6666666666666665
WC-1970,1970,Brazil,13,2.6153846153846154,0.8461538461538461,2.1538461538461537,2.6923076923076925,0.5384615384615384
WC-1970,1970,Bulgaria,13,1.0769230769230769,0.23076923076923078,-0.3076923076923077,1.4615384615384615,1.7692307692307692
WC-1970,1970,Czechoslovakia,8,2.375,0.75,1.5,2.375,0.875
WC-1970,1970,El Salvador,10,1.5,0.5,-0.4,1.1,1.5
WC-1970,1970,England,13,2.1538461538461537,0.6153846153846154,1.2307692307692308,1.6923076923076923,0.46153846153846156
WC-1970,1970,Israel,7,1.8571428571428572,0.5714285714285714,1.1428571428571428,2.0,0.8571428571428571
WC-1970,1970,Italy,4,2.5,0.75,1.75,2.75,1.0
WC-1970,1970,Mexico,21,1.4761904761904763,0.38095238095238093,0.3333333333333333,1.2857142857142858,0.9523809523809523
WC-1970,1970,Morocco,8,1.375,0.375,0.375,1.25,0.875
WC-1970,1970,Peru,21,1.5238095238095237,0.42857142857142855,0.09523809523809523,1.4285714285714286,1.3333333333333333
WC-1970,1970,Romania,7,1.1428571428571428,0.14285714285714285,-0.14285714285714285,0.7142857142857143,0.8571428571428571
WC-1970,1970,Soviet Union,0,,,,,
WC-1970,1970,Sweden,11,2.5454545454545454,0.8181818181818182,1.0909090909090908,1.9090909090909092,0.8181818181818182
WC-1970,1970,Uruguay,10,1.9,0.6,0.6,1.2,0.6
WC-1970,1970,West Germany,0,,,,,
WC-1974,1974,Argentina,11,2.090909090909091,0.6363636363636364,0.6363636363636364,2.1818181818181817,1.5454545454545454
